creative_data_id,"Is there a call to go online (e.g., shop online, visit the Web)?","Is there online contact information provided (e.g., URL, website)?","Is there a visual or verbal call to purchase (e.g., buy now, order now)?","Does the ad portray a sense of urgency to act (e.g., buy before sales ends, order before ends)?","Is there an incentive to buy (e.g., a discount, a coupon, a sale or ""limited time offer"")?","Is there offline contact information provided (e.g., phone, mail, store location)?",Is there mention of something free?,"Does the ad mention at least one specific product or service (e.g., model, type, item)?",Is there any verbal or visual mention of the price?,"Does the ad show the brand (logo, brand name) or trademark (something that most people know is the brand) multiple times?

For example, Nike ads often have the ""swoosh"" logo prominently displayed on shoes and apparel worn by celebrity athletes. The ""Just Do It"" slogan is another Nike trademark frequently included.",Does the ad show the brand or trademark exactly once at the end of the ad?,"Is the ad intended to affect the viewer emotionally, either with positive emotion (fun, joy), negative emotion (sad, anxious) or another type of emotion? (Note: You may not personally agree, but assess if that was the intention.)",Does the ad give you a positive feeling about the brand?,"Does the ad have a story arc, with a beginning and an end?","Does the ad have a reversal of fortune, where something changes for the better, or changes for the worse?",Does the ad have relatable characters?,Is the ad creative/clever?,"Is the ad intended to be funny? (Note: You may not personally agree, but assess if that was the intention.)","Does this ad provide sensory stimulation (e.g., cool visuals, arousing music, mouth-watering)?",Is the ad visually pleasing?,"Does the ad have cute elements like animals, babies, animated, characters, etc?"
2385082,Yes,No,Yes,Yes,Yes,Yes,No,Yes,"Yes, visual",Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No
1548815,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
1723501,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, both",Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
3111684,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No
2332208,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No
2188255,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No
1951792,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
2377805,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No
1671240,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
2488408,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
3170124,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes
1958838,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
2612386,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes
3361032,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
1661301,Yes,Yes,Yes,No,Yes,No,No,Yes,"Yes, both",Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No
1958530,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Yes, both",Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No
1713794,Yes,Yes,Yes,Yes,No,No,No,Yes,"Yes, both",Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
2892458,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No
3340033,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
3066063,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No
2418354,No,No,Yes,No,Yes,Yes,No,Yes,"Yes, both",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
2511206,No,No,Yes,Yes,Yes,No,No,Yes,"Yes, visual",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
2597996,Yes,No,Yes,No,Yes,No,No,Yes,"Yes, both",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
2529687,No,Yes,Yes,Yes,Yes,Yes,No,Yes,"Yes, both",Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
3265336,No,Yes,No,Yes,Yes,No,No,Yes,"Yes, visual",Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes
2650588,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
2750416,No,No,Yes,No,No,Yes,No,Yes,"Yes, both",Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No
2540988,No,No,Yes,No,No,No,No,Yes,"Yes, visual",Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
1959692,No,No,Yes,Yes,Yes,No,No,Yes,"Yes, both",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
1986629,No,No,No,Yes,No,No,No,Yes,"Yes, both",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No
2505712,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
2468277,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
2917037,Yes,Yes,Yes,No,No,Yes,No,Yes,"Yes, both",Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No
3209706,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
3347554,No,No,No,No,No,No,No,Yes,"Yes, both",Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No
2218186,No,Yes,Yes,No,Yes,No,No,Yes,"Yes, visual",Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No
2953810,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
2220795,No,No,Yes,No,Yes,No,No,Yes,"Yes, both",Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
2558982,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
1739116,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
1708967,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No
2314704,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"Yes, visual",No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
3187482,Yes,Yes,Yes,Yes,No,Yes,No,Yes,"Yes, visual",Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No
1963503,No,No,No,Yes,No,Yes,No,Yes,"Yes, both",No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No
3081313,No,No,No,No,No,No,No,Yes,"Yes, both",Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
3312710,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"Yes, both",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
2160345,No,No,Yes,No,Yes,No,No,Yes,"Yes, both",Yes,Yes,No,No,No,No,No,No,No,No,No,No
1744482,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"Yes, both",Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
2205093,No,Yes,Yes,Yes,Yes,No,No,Yes,"Yes, both",Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
1825984,Yes,Yes,Yes,Yes,Yes,No,No,No,"Yes, both",Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No
3117116,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes
2853933,No,No,Yes,No,No,No,No,Yes,"Yes, verbal",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
2407070,No,No,Yes,Yes,No,No,No,Yes,"Yes, both",Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
2238004,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No
2391348,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
1526213,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
3415261,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No
2327598,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
3168530,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No
2595709,No,Yes,No,Yes,Yes,No,No,Yes,"Yes, both",Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
3156128,No,Yes,No,Yes,Yes,No,No,Yes,"Yes, both",Yes,No,No,No,No,No,No,No,No,No,No,No
2149098,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Yes, both",Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
3351059,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No
2032457,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No
2962688,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No
2352149,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
2505718,No,No,No,Yes,Yes,No,No,No,"Yes, both",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
3004458,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes
1707220,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
2506189,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No
2755227,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No
2259242,No,No,No,Yes,Yes,No,No,Yes,"Yes, both",Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No
3124938,Yes,Yes,Yes,No,No,Yes,No,Yes,"Yes, both",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
3264190,No,No,No,Yes,Yes,No,No,Yes,"Yes, both",No,Yes,Yes,No,Yes,No,No,No,No,No,No,No
3326009,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
